index,breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
180,German Sheprador,https://dogtime.com/dog-breeds/german-sheprador,3,2,1,5,2,4,4,5,5,5,4,4,4,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5,5,Mixed Breed Dogs,20 to 27 inches ,60 to 95 pounds ,10 to 12 years ,"20,27",4
181,German Shorthaired Pointer,https://dogtime.com/dog-breeds/german-shorthaired-pointer,2,1,2,4,1,2,4,4,5,5,4,3,3,2,2,5,3,3,3,5,5,5,4,5,3,5,5,5,3,5,5,Sporting Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",45 to 70 pounds,12 to 15 years,"21,25",4
182,German Spitz,https://dogtime.com/dog-breeds/german-spitz,3,4,2,3,3,3,2,4,5,4,3,3,3,4,1,2,4,4,1,4,2,4,4,5,4,2,4,5,3,4,4,Companion Dogs,12 to 15 inches,21 to 29 pounds,13 to 15 years,"12,15",2
183,German Wirehaired Pointer,https://dogtime.com/dog-breeds/german-wirehaired-pointer,3,2,3,4,2,3,4,3,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,5,5,4,5,5,Sporting Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",60 to 70 pounds,12 to 14 years,"22,26",4
184,Giant Schnauzer,https://dogtime.com/dog-breeds/giant-schnauzer,2,1,1,4,2,4,2,3,5,3,3,2,3,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5,Working Dogs,23 to 27 inches tall at the shoulder,55 to 80 pounds,10 to 12 years,"23,27",5
185,Glen of Imaal Terrier,https://dogtime.com/dog-breeds/glen-of-imaal-terrier,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4,4,5,4,4,Terrier Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",Up to 35 pounds,12 to 15 years,"12,14",2
186,Goberian,https://dogtime.com/dog-breeds/goberian,3,1,2,3,2,5,2,4,4,4,4,2,3,2,1,5,4,4,4,3,2,5,3,4,2,4,5,5,4,5,4,Mixed Breed Dogs,20 to 24 inches,45 to 90 pounds,10 to 15 years,"20,24",4
187,Goldador,https://dogtime.com/dog-breeds/goldador,4,2,4,3,4,5,4,5,5,5,5,5,3,3,2,4,4,3,4,3,4,5,2,1,1,4,5,5,5,5,5,Hybrid Dogs,"1 foot, 10 inches to 2 feet tall at the shoulder",60 to 80 pounds,10 to 15 years,"22,24",4
188,Golden Cocker Retriever,https://dogtime.com/dog-breeds/golden-cocker-retriever,3,1,4,4,1,2,4,4,5,4,4,3,3,4,1,4,4,4,3,3,4,4,2,2,3,4,4,5,2,4,5,Mixed Breed Dogs,20 to 24 inches,30 to 45 pounds,12 to 15 years,"20,24",4
189,Golden Mountain Dog,https://dogtime.com/dog-breeds/golden-mountain-dog,2,1,2,2,2,5,1,4,5,5,4,3,4,4,4,2,3,4,5,3,4,4,2,2,3,4,4,4,2,5,5,Mixed Breed Dogs,24 to 28 inches,75 to 120 pounds,9 to 15 years,"24,28",5
190,Golden Retriever,https://dogtime.com/dog-breeds/golden-retriever,3,2,3,5,1,3,3,5,5,5,5,5,4,5,4,2,2,5,3,4,5,5,5,3,3,2,4,5,2,5,5,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",55 to 75 pounds,10 to 12 years,"21,24",4
191,Golden Retriever Corgi,https://dogtime.com/dog-breeds/golden-retriever-corgi,3,3,4,3,3,3,3,5,5,5,4,4,3,4,3,3,3,4,3,3,4,4,3,2,3,2,4,4,3,3,5,Mixed Breed Dogs,10 to 18 inches,30 to 75 pounds,10 to 13 years,"10,18",3
192,Golden Shepherd,https://dogtime.com/dog-breeds/golden-shepherd,3,2,2,5,1,5,4,5,5,5,3,5,3,5,2,2,3,3,5,4,5,5,5,3,3,2,5,5,3,5,5,Mixed Breed Dogs,20 to 26 inches,55 to 85 pounds ,10 to 14 years,"20,26",4
193,Goldendoodle,https://dogtime.com/dog-breeds/goldendoodle,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1,4,3,3,4,3,4,5,1,1,3,3,4,4,3,5,5,Hybrid Dogs,"1 foot, 8 inches to 2 feet tall at the shoulder",50 to 90 pounds,10 to 15 years,"20,24",5
194,Gollie,https://dogtime.com/dog-breeds/gollie,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2,3,3,4,3,3,4,4,2,2,2,4,4,5,3,4,5,Mixed Breed Dogs,22 to 26 inches,50 to 75 pounds,12 to 15 years,"22,26",4
195,Gordon Setter,https://dogtime.com/dog-breeds/gordon-setter,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,4,5,5,3,4,5,4,4,5,2,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,10 to 12 years,"23,27",5
196,Great Dane,https://dogtime.com/dog-breeds/great-dane,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3,5,3,2,3,4,3,5,5,5,5,5,Working Dogs,26 to 34 inches tall at the shoulder,100 to 200 pounds,7 to 10 years,"26,34",5
197,Great Pyrenees,https://dogtime.com/dog-breeds/great-pyrenees,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,5,5,5,5,4,Working Dogs,"2 feet, 1 inch to 2 feet, 8 inches tall at the shoulder",85 to 160 pounds,10 to 12 years,"25,32",5
198,Greater Swiss Mountain Dog,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3,3,3,3,4,4,3,4,5,4,3,5,Working Dogs,23 to 28 inches tall at the shoulder,85 to 140 pounds,7 to 9 years,"23,28",5
199,Greyador,https://dogtime.com/dog-breeds/greyador,3,3,2,5,1,1,3,5,5,5,5,5,5,5,4,5,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,Mixed Breed Dogs,21 to 27 inches,50 to 80 pounds ,11 to 13 years,"21,27",4
200,Greyhound,https://dogtime.com/dog-breeds/greyhound,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,2,5,4,5,3,5,4,Hound Dogs,"2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder",50 to 85 pounds,12 to 15 years,"25,30",5
201,Hamiltonstovare,https://dogtime.com/dog-breeds/hamiltonstovare,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1,4,4,3,3,3,3,4,2,5,3,2,4,5,3,4,4,Hound Dogs,19 to 24 inches,40 to 75 pounds,14 to 17 years,"19,24",4
202,Hanoverian Scenthound,https://dogtime.com/dog-breeds/hanoverian-scenthound,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1,4,4,3,4,3,2,4,2,4,3,2,4,4,3,4,4,Working Dogs,19 to 22 inches,80 to 100 pounds,12 to 14 years,"19,22",4
203,Harrier,https://dogtime.com/dog-breeds/harrier,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1,5,5,3,3,4,2,4,3,4,4,5,5,5,4,5,5,Hound Dogs,"1 foot, 7 inches to 1 foot, 9 inches tall at the shoulder",45 to 60 pounds,10 to 12 years,"19,21",4
204,Havanese,https://dogtime.com/dog-breeds/havanese,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1,1,3,4,2,3,5,4,3,4,2,2,3,3,2,3,5,Companion Dogs,8 inches to 11 inches tall at the shoulder,7 to 13 pounds,12 to 15 years,"8,11",2
205,Hokkaido,https://dogtime.com/dog-breeds/hokkaido,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2,1,5,3,3,3,3,4,3,4,3,3,3,3,2,3,3,Working Dogs,18 to 22 Inches,45 to 65 Pounds,11 to 13 Years,"18,22",3
206,Horgi,https://dogtime.com/dog-breeds/horgi,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4,4,Mixed Breed Dogs,12 to 15 inches ,20 to 50 pounds,12 to 15 years ,"12,15",2
207,Huskita,https://dogtime.com/dog-breeds/huskita,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,4,2,3,3,4,5,5,5,4,4,5,5,Mixed Breed Dogs,22 to 25 inches ,50 to 75 pounds ,10 to 13 years,"22,25",4
208,Huskydoodle - Standard,https://dogtime.com/dog-breeds/huskydoodle,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,Mixed Breed Dogs,20 to 25 inches,35 to 60 pounds,10 to 14 years,"20,25",4
209,Huskydoodle - Small,https://dogtime.com/dog-breeds/huskydoodle,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,Mixed Breed Dogs,12 to 20 inches,15 to 35 pounds,10 to 14 years,"12,20",3
210,Ibizan Hound,https://dogtime.com/dog-breeds/ibizan-hound,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1,5,4,1,3,4,3,4,3,5,2,5,5,5,3,5,5,Hound Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",45 to 50 pounds,10 to 14 years,"22,27",5
211,Icelandic Sheepdog,https://dogtime.com/dog-breeds/icelandic-sheepdog,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1,1,3,3,3,3,3,4,3,4,1,4,4,4,5,4,4,Herding Dogs,"1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder",20 to 30 pounds,14 to 15 years,"16,18",3
212,Irish Red and White Setter,https://dogtime.com/dog-breeds/irish-red-and-white-setter,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1,3,2,2,3,4,4,4,4,3,3,4,5,5,5,5,5,Sporting Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",50 to 70 pounds,10 to 14 years,"22,26",5
213,Irish Setter,https://dogtime.com/dog-breeds/irish-setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5,5,Sporting Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",60 to 70 pounds,11 to 15 years,"25,27",5
214,Irish Terrier,https://dogtime.com/dog-breeds/irish-terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,5,5,4,4,5,Terrier Dogs,"1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder",25 to 27 pounds,12 to 16 years,"18,20",3
215,Irish Water Spaniel,https://dogtime.com/dog-breeds/irish-water-spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,4,5,3,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 12 years,"21,24",4
216,Irish Wolfhound,https://dogtime.com/dog-breeds/irish-wolfhound,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1,3,1,3,5,3,3,4,3,5,1,3,3,2,2,4,4,Hound Dogs,"2 feet, 8 inches to 2 feet, 11 inches tall at the shoulder",115 to 180 pounds,6 to 8 years,"32,35",5
217,Italian Greyhound,https://dogtime.com/dog-breeds/italian-greyhound,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1,5,3,2,2,4,3,3,4,5,3,3,4,4,2,4,4,Companion Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",6 to 15 pounds,14 to 15 years,"13,15",3
218,Jack-A-Poo,https://dogtime.com/dog-breeds/jack-a-poo,4,4,4,4,2,4,4,5,5,5,5,4,2,2,1,2,3,4,2,4,4,5,4,4,3,4,5,5,4,5,5,Mixed Breed Dogs,10 to 16 inches,13 to 25 pounds,12 to 15 years,"10,16",2
219,Jack Chi,https://dogtime.com/dog-breeds/jack-chi,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2,5,4,4,2,3,2,4,2,4,2,4,4,4,4,4,5,Mixed Breed Dogs,12 to 15 inches,8 to 18 pounds,13 to 18 years,"12,15",2
220,Jack Russell Terrier,https://dogtime.com/dog-breeds/jack-russell-terrier,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1,3,4,4,2,4,4,5,4,5,4,4,5,5,5,5,5,Terrier Dogs,"10 inches to 1 foot, 3 inches tall at the shoulder",13 to 17 pounds,10 to 15 years,"10,15",2
221,Japanese Chin,https://dogtime.com/dog-breeds/japanese-chin,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1,3,3,3,1,3,3,3,4,3,3,1,2,2,1,2,4,Companion Dogs,8 inches to 11 inches tall at the shoulder,4 to 9 pounds,10 to 14 years,"8,11",1
222,Japanese Spitz,https://dogtime.com/dog-breeds/japanese-spitz,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1,4,3,2,2,3,4,4,2,2,4,2,3,3,2,3,4,Companion Dogs,10 to 16 inches,11 to 20 pounds,10 to 16 years,"10,16",2
223,Korean Jindo Dog,https://dogtime.com/dog-breeds/jindo,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1,1,4,2,3,3,2,5,2,5,5,5,4,4,4,5,4,Sporting Dogs,19½ to 21 inches for males and 18½ to 20 inches for females,35 - 60 pounds,12 - 15 years,"18,21",3
224,Karelian Bear Dog,https://dogtime.com/dog-breeds/karelian-bear-dog,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1,4,4,2,3,4,2,4,4,5,4,5,4,4,5,4,4,Working Dogs,19 to 24 inches,44 to 50 pounds,10 to 13 years,"19,24",4
225,Keeshond,https://dogtime.com/dog-breeds/keeshond,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1,3,3,4,3,3,4,4,3,3,4,2,4,4,3,3,5,Companion Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",35 to 45 pounds,12 to 15 years,"16,19",3
226,Kerry Blue Terrier,https://dogtime.com/dog-breeds/kerry-blue-terrier,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1,2,3,3,3,4,4,4,4,3,4,3,4,4,4,5,4,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",33 to 40 pounds,12 to 15 years,"17,19",3
227,Komondor,https://dogtime.com/dog-breeds/komondor,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2,2,2,3,4,4,4,4,3,2,5,4,3,2,1,4,4,Working Dogs,25 to 27 inches tall at the shoulder,80 to 100 pounds,10 to 12 years,"25,27",5
228,Kooikerhondje,https://dogtime.com/dog-breeds/kooikerhondje,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1,2,5,3,3,3,1,4,3,3,3,3,5,4,5,5,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",20 to 25 pounds,12 to 14 years,"14,16",2
229,Kuvasz,https://dogtime.com/dog-breeds/kuvasz,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3,4,4,4,5,2,2,4,1,1,3,3,4,4,4,5,4,Working Dogs,26 to 30 inches tall at the shoulder,70 to 115 pounds,10 to 12 years,"26,30",5
230,Kyi-Leo,https://dogtime.com/dog-breeds/kyi-leo,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,Mixed Breed Dogs,8 to 12 inches,8 to 14 pounds,13 to 15 years,"8,12",2
231,Lab Pointer,https://dogtime.com/dog-breeds/lab-pointer,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2,4,4,4,4,4,5,4,2,4,2,4,4,5,3,5,4,Mixed Breed Dogs,22 to 28 inches,35 to 80 pounds,10 to 15 years,"22,28",4
232,Labernese,https://dogtime.com/dog-breeds/labernese,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3,3,2,4,4,3,3,4,3,3,2,4,4,4,2,4,5,Mixed Breed Dogs,24 to 28 inches,65 to 110 pounds,6 to 12 years,"24,28",5
233,Labmaraner,https://dogtime.com/dog-breeds/labmaraner,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2,4,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,Mixed Breed Dogs,21 to 24 inches,60 to 100 pounds,10 to 12 years,"21,24",4
234,Labrabull,https://dogtime.com/dog-breeds/labrabull,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2,5,3,3,4,4,5,5,5,3,3,4,5,5,5,4,5,Mixed Breed Dogs,20 to 24 inches ,45 to 90 pounds ,10 to 14 years ,"20,24",4
235,Labradane,https://dogtime.com/dog-breeds/labradane,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3,4,4,4,5,3,3,4,2,3,1,3,4,4,2,4,5,Mixed Breed Dogs,24 to 30 inches,100 to 180 pounds,8 to 12 years,"24,30",5
236,Labradoodle,https://dogtime.com/dog-breeds/labradoodle,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1,4,4,3,4,3,4,4,1,2,2,3,5,5,4,5,5,Hybrid Dogs,21 to 24 inches at the shoulder,50 to 65 pounds,12 to 14 years,"21,24",4
237,Labrador Retriever,https://dogtime.com/dog-breeds/labrador-retriever,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3,5,3,5,4,4,5,5,5,2,4,3,5,5,5,5,5,Sporting Dogs,21 to 24 inches at the shoulder,55 to 80 pounds,10 to 12 years,"21,24",4
238,Labrastaff,https://dogtime.com/dog-breeds/labrastaff,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4,4,Mixed Breed Dogs,17 to 24 inches,40 to 80 pounds,10 to 14 years,"17,24",3
239,Labsky,https://dogtime.com/dog-breeds/labsky,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,5,5,4,5,5,Mixed Breed Dogs,20 to 28 inches,40 to 60 pounds,10 to 12 years,"20,28",3
240,Lagotto Romagnolo,https://dogtime.com/dog-breeds/lagotto-romagnolo,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2,1,4,3,2,3,4,4,2,4,3,3,4,4,2,4,4,Sporting Dogs,14 to 19 inches,24 to 35 pounds,14 to 17 years,"14,19",3
241,Lakeland Terrier,https://dogtime.com/dog-breeds/lakeland-terrier,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1,2,5,3,2,3,2,4,1,4,2,3,4,5,4,4,4,Terrier Dogs,"1 foot, 1 inch to 1 foot, 2 inches tall at the shoulder",15 to 17 pounds,12 to 15 years,"13,14",2
242,Lancashire Heeler,https://dogtime.com/dog-breeds/lancashire-heeler,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1,4,4,4,1,3,3,4,2,2,2,4,4,4,4,3,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,13 to 15 pounds,9 to 14 years,"10,12",2
243,Leonberger,https://dogtime.com/dog-breeds/leonberger,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3,4,1,4,5,3,2,3,4,4,3,2,4,4,4,4,4,Working Dogs,"2 feet, 1 inch to 2 feet, 7 inches tall at the shoulder",120 to 170 pounds,10 to 12 years,"25,31",5
244,Lhasa Apso,https://dogtime.com/dog-breeds/lhasa-apso,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1,1,3,3,1,3,3,4,3,4,4,2,4,4,3,3,5,Companion Dogs,9 inches to 11 inches tall at the shoulder,12 to 15 pounds,12 to 15 years,"9,11",2
245,Lhasapoo,https://dogtime.com/dog-breeds/lhasapoo,3,4,2,4,2,3,3,3,4,3,3,1,3,1,1,3,4,3,3,3,3,5,2,2,4,2,4,4,4,3,4,Mixed Breed Dogs,9 to 13 inches,10 to 15 pounds,10 to 15 years,"9,13",2
246,Lowchen,https://dogtime.com/dog-breeds/lowchen,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,4,4,3,4,5,Companion Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",9 to 18 pounds,13 to 15 years,"12,14",2
247,Maltese,https://dogtime.com/dog-breeds/maltese,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1,2,3,3,1,3,4,4,3,4,2,1,3,3,3,2,4,Companion Dogs,8 inches to 10 inches tall at the shoulder,Up to 7 pounds,12 to 15 years,"8,10",1
248,Maltese Shih Tzu,https://dogtime.com/dog-breeds/maltese-shih-tzu,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1,2,2,3,1,4,4,3,4,5,4,1,3,3,2,3,3,Hybrid Dogs,From 10 inches tall at the shoulder,6 to 12 pounds,12 to 14 years,10,1
249,Maltipoo,https://dogtime.com/dog-breeds/maltipoo,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1,3,2,2,2,4,5,4,3,2,5,4,3,3,3,2,4,Hybrid Dogs,"8 inches to 1 foot, 2 inches tall at the shoulder",5 to 20 pounds,10 to 13 years,"8,14",2
250,Manchester Terrier,https://dogtime.com/dog-breeds/manchester-terrier,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1,5,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",12 to 22 pounds,14 to 16 years,"15,16",2
251,Mastador,https://dogtime.com/dog-breeds/mastador,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,Mixed Breed Dogs,28 to 36 inches,85 to 160 pounds ,10 to 12 years ,"28,36",5
252,Mastiff,https://dogtime.com/dog-breeds/mastiff,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5,3,3,4,5,2,3,2,4,2,2,1,4,3,3,4,4,Working Dogs,27 to 32 inches tall at the shoulder,130 to 220 pounds,6 to 10 years,"27,32",5
253,Miniature Pinscher,https://dogtime.com/dog-breeds/miniature-pinscher,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1,5,3,5,1,3,3,3,2,3,1,5,4,4,3,4,5,Companion Dogs,10 inches to 1 foot tall at the shoulder,8 to 11 pounds,10 to 14 years,"10,12",1
254,Miniature Schnauzer,https://dogtime.com/dog-breeds/miniature-schnauzer,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1,2,3,4,2,4,5,4,2,4,3,3,4,5,3,5,4,Terrier Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",11 to 20 pounds,12 to 14 years,"12,14",2
255,Morkie,https://dogtime.com/dog-breeds/morkie,3,3,2,3,2,2,3,3,4,3,2,3,2,1,1,3,4,4,1,4,3,4,5,3,5,2,4,4,3,4,5,Mixed Breed Dogs,4 to 8 inches,7 to 13 pounds,10 to 14 years,"4,8",1
256,Mudi,https://dogtime.com/dog-breeds/mudi,3,2,4,4,2,3,3,3,4,2,2,2,3,3,1,4,4,2,2,4,5,4,3,4,4,4,4,4,2,4,4,Herding Dogs,14 to 20 inches,18 to 29 pounds,12 to 14 years,"14,20",3
257,Neapolitan Mastiff,https://dogtime.com/dog-breeds/neapolitan-mastiff,2,2,1,4,1,1,2,3,5,4,2,1,4,3,5,3,2,5,5,2,3,3,2,1,1,1,3,3,1,3,4,Working Dogs,24 to 31 inches tall at the shoulder,120 to 200 pounds,8 to 10 years,"24,31",5
258,Newfoundland,https://dogtime.com/dog-breeds/newfoundland,3,1,3,4,1,5,2,5,5,5,4,4,4,5,5,2,1,4,5,4,5,4,3,4,4,3,3,3,1,3,4,Working Dogs,"2 feet, 1 inch to 2 feet, 5 inches tall at the shoulder",100 to 150 pounds,8 to 10 years,"25,29",5
259,Norfolk Terrier,https://dogtime.com/dog-breeds/norfolk-terrier,4,4,5,4,3,4,4,5,5,4,5,4,3,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,4,5,Terrier Dogs,9 inches to 10 inches tall at the shoulder,11 to 12 pounds,12 to 15 years,"9,10",1
260,Norwegian Buhund,https://dogtime.com/dog-breeds/norwegian-buhund,3,3,3,3,4,5,2,4,5,5,3,3,3,3,1,2,4,3,3,3,4,3,3,2,4,4,5,4,4,5,5,Herding Dogs,"1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder",26 to 40 pounds,12 to 15 years,"16,18",3
261,Norwegian Elkhound,https://dogtime.com/dog-breeds/norwegian-elkhound,4,4,4,4,2,5,3,4,5,4,4,4,3,5,1,3,4,4,3,4,2,4,3,4,4,4,4,5,3,5,4,Hound Dogs,"1 foot, 7 inches to 1 foot, 8 inches tall at the shoulder",49 to 55 pounds,12 to 15 years,"19,20",3
262,Norwegian Lundehund,https://dogtime.com/dog-breeds/norwegian-lundehund,3,1,1,3,2,5,3,5,5,5,5,5,3,5,1,4,3,3,3,3,4,5,3,2,1,5,5,4,4,5,5,Working Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",13 to 16 pounds,10 to 12 years,"12,15",2
263,Norwich Terrier,https://dogtime.com/dog-breeds/norwich-terrier,4,5,3,4,2,4,4,5,5,5,5,5,3,2,1,2,4,5,1,4,4,4,4,3,4,4,5,5,4,4,5,Terrier Dogs,Up to 10 inches tall at the shoulder,Up to 12 pounds,10 to 14 years,10,1
264,Nova Scotia Duck Tolling Retriever,https://dogtime.com/dog-breeds/nova-scotia-duck-tolling-retriever,4,5,3,3,2,4,4,5,5,5,4,4,3,3,1,5,4,4,3,4,4,5,4,5,4,3,5,5,3,5,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 9 inches tall at the shoulder",35 to 50 pounds,10 to 14 years,"17,21",3
265,Old English Sheepdog,https://dogtime.com/dog-breeds/old-english-sheepdog,4,5,4,4,2,4,2,4,5,4,4,4,3,1,4,1,4,4,4,3,3,4,2,3,1,2,4,4,3,4,4,Herding Dogs,20 to 24 inches,60 to 100 pounds,10 to 12 years,"20,24",4
266,Otterhound,https://dogtime.com/dog-breeds/otterhound,3,1,4,2,5,4,3,5,5,5,5,4,3,4,1,2,4,3,4,4,2,4,3,5,2,5,5,5,4,5,5,Hound Dogs,"2 feet to 2 feet, 3 inches tall at the shoulder",64 to 110 pounds,10 to 12 years,"24,27",5
267,Papillon,https://dogtime.com/dog-breeds/papillon,3,5,5,3,1,2,4,4,5,3,4,5,2,2,1,3,3,3,1,3,5,4,3,4,2,1,4,4,3,5,5,Companion Dogs,8 inches to 11 inches tall at the shoulder,4 to 9 pounds,12 to 16 years,"8,11",1
268,Papipoo,https://dogtime.com/dog-breeds/papipoo,4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3,5,5,3,3,2,2,5,5,3,5,5,Mixed Breed Dogs,10 to 11 inches,6 to 14 pounds,10 to 14 years,"10,11",2
269,Peekapoo,https://dogtime.com/dog-breeds/peekapoo,4,5,5,4,2,3,2,4,5,4,4,3,2,2,1,2,3,4,1,3,3,4,4,3,4,1,3,3,2,3,4,Hybrid Dogs,9 to 11 inches tall at the shoulder,4 to 20 pounds,10 to 15 years,"9,11",2
270,Pekingese,https://dogtime.com/dog-breeds/pekingese,3,5,4,2,3,4,1,3,5,2,2,2,2,4,1,1,2,3,1,4,3,4,3,5,4,3,2,2,1,2,3,Companion Dogs,6 inches to 9 inches tall at the shoulder,7 to 14 pounds,12 to 15 years,"6,9",1
